"","Google-Uncertainty GB-Raw","Google-Uncertainty GB-Cleaned","Reuters-Uncertainty GB-Raw","Reuters-Uncertainty GB-Cleaned"
"2007-02-01",26.25,24.341939285711,0.021064474,0.0281995216441346
"2007-03-01",29.75,24.2478442038049,0.01638643,0.0117591206090916
"2007-04-01",26.75,25.4787466245509,0.02478811,0.0203087181519197
"2007-05-01",30.75,27.7514639196409,0.028316396,0.0326194475361602
"2007-06-01",24.5,26.8241756056095,0.020496237,0.0156819001248213
"2007-07-01",23.5,28.4277663412433,0.018687767,0.0274601668811051
"2007-08-01",23,31.8813491487895,0.028927598,0.0428267083886402
"2007-09-01",27.5,30.6700208419838,0.047207201,0.0444136232385253
"2007-10-01",30.75,27.7836931000506,0.054227148,0.0398334083791054
"2007-11-01",36.5,28.8708374309605,0.044695049,0.0424663678023797
"2007-12-01",24.5,27.9043356813956,0.058431484,0.0528407598232338
"2008-01-01",45.25,44.8178283620942,0.034468886,0.0392870370757861
"2008-02-01",27.75,25.841939285711,0.056836279,0.0639713266441346
"2008-03-01",43.25,37.7478442038049,0.051950535,0.0473232256090916
"2008-04-01",32.75,31.4787466245509,0.056964742,0.0524853501519197
"2008-05-01",29.75,26.7514639196409,0.035921273,0.0402243245361602
"2008-06-01",26.25,28.5741756056095,0.049740568,0.0449262311248213
"2008-07-01",22,26.9277663412433,0.041231786,0.0500041858811051
"2008-08-01",24.75,33.6313491487895,0.04121425,0.0551133603886402
"2008-09-01",30.5,33.6700208419838,0.041459873,0.0386662952385253
"2008-10-01",42.75,39.7836931000506,0.084142008,0.0697482683791055
"2008-11-01",44.25,36.6208374309605,0.08196186,0.0797331788023797
"2008-12-01",28.75,32.1543356813956,0.06955659,0.0639658658232338
"2009-01-01",31,30.5678283620942,0.050540103,0.0553582540757861
"2009-02-01",33.75,31.841939285711,0.045455114,0.0525901616441346
"2009-03-01",40.75,35.2478442038049,0.070393729,0.0657664196090916
"2009-04-01",48,46.7287466245509,0.055204338,0.0507249461519197
"2009-05-01",43.25,40.2514639196409,0.046071242,0.0503742935361602
"2009-06-01",38.75,41.0741756056095,0.05906775,0.0542534131248213
"2009-07-01",46.25,51.1777663412433,0.058796086,0.0675684858811051
"2009-08-01",22.75,31.6313491487895,0.033438109,0.0473372193886402
"2009-09-01",33.5,36.6700208419838,0.041500342,0.0387067642385253
"2009-10-01",39.5,36.5336931000506,0.073682702,0.0592889623791054
"2009-11-01",54.75,47.1208374309605,0.028611808,0.0263831268023797
"2009-12-01",37.75,41.1543356813956,0.055102941,0.0495122168232338
"2010-01-01",36.25,35.8178283620942,0.046228951,0.0510471020757861
"2010-02-01",30.5,28.591939285711,0.061155558,0.0682906056441346
"2010-03-01",42.25,36.7478442038049,0.067393127,0.0627658176090916
"2010-04-01",40.5,39.2287466245509,0.071845252,0.0673658601519197
"2010-05-01",51,48.0014639196409,0.070199957,0.0745030085361602
"2010-06-01",35.5,37.8241756056095,0.116397097,0.111582760124821
"2010-07-01",35,39.9277663412433,0.081288015,0.0900604148811051
"2010-08-01",40,48.8813491487895,0.069117143,0.0830162533886402
"2010-09-01",32.75,35.9200208419838,0.073969914,0.0711763362385253
"2010-10-01",36,33.0336931000506,0.063654127,0.0492603873791055
"2010-11-01",43.25,35.6208374309605,0.060494697,0.0582660158023797
"2010-12-01",31.25,34.6543356813956,0.077243291,0.0716525668232338
"2011-01-01",41.75,41.3178283620942,0.044677792,0.0494959430757861
"2011-02-01",56.5,54.591939285711,0.041686656,0.0488217036441346
"2011-03-01",47.5,41.9978442038049,0.067834675,0.0632073656090916
"2011-04-01",45,43.7287466245509,0.082092519,0.0776131271519197
"2011-05-01",39.5,36.5014639196409,0.060781896,0.0650849475361602
"2011-06-01",41.75,44.0741756056095,0.0657253,0.0609109631248213
"2011-07-01",39.25,44.1777663412433,0.05358418,0.0623565798811051
"2011-08-01",35,43.8813491487895,0.055350179,0.0692492893886402
"2011-09-01",36.5,39.6700208419838,0.09827251,0.0954789322385253
"2011-10-01",62.5,59.5336931000506,0.070223518,0.0558297783791054
"2011-11-01",66.25,58.6208374309605,0.083918253,0.0816895718023797
"2011-12-01",53,56.4043356813956,0.125278884,0.119688159823234
"2012-01-01",40.75,40.3178283620942,0.100824295,0.105642446075786
"2012-02-01",52,50.091939285711,0.074963025,0.0820980726441346
"2012-03-01",58.25,52.7478442038049,0.082570684,0.0779433746090916
"2012-04-01",43,41.7287466245509,0.057736373,0.0532569811519197
"2012-05-01",42.25,39.2514639196409,0.053306867,0.0576099185361602
"2012-06-01",35.75,38.0741756056095,0.088383667,0.0835693301248213
"2012-07-01",33.75,38.6777663412433,0.078386196,0.0871585958811051
"2012-08-01",35.5,44.3813491487895,0.053035589,0.0669346993886402
"2012-09-01",49.25,52.4200208419838,0.050263917,0.0474703392385253
"2012-10-01",47.5,44.5336931000506,0.067934399,0.0535406593791055
"2012-11-01",49.75,42.1208374309605,0.097573187,0.0953445058023797
"2012-12-01",39.5,42.9043356813956,0.08407901,0.0784882858232338
"2013-01-01",45.75,45.3178283620942,0.089550961,0.0943691120757861
"2013-02-01",44,42.091939285711,0.051947073,0.0590821206441346
"2013-03-01",42.5,36.9978442038049,0.086817607,0.0821902976090916
"2013-04-01",42,40.7287466245509,0.084308128,0.0798287361519197
"2013-05-01",43.75,40.7514639196409,0.058918774,0.0632218255361602
"2013-06-01",49,51.3241756056095,0.039589982,0.0347756451248213
"2013-07-01",26.5,31.4277663412433,0.045097256,0.0538696558811051
"2013-08-01",33.75,42.6313491487895,0.054069155,0.0679682653886402
"2013-09-01",41,44.1700208419838,0.103272361,0.100478783238525
"2013-10-01",42.75,39.7836931000506,0.066982366,0.0525886263791054
"2013-11-01",48.25,40.6208374309605,0.069852331,0.0676236498023797
"2013-12-01",40,43.4043356813956,0.049838307,0.0442475828232338
"2014-01-01",44.25,43.8178283620942,0.051223386,0.0560415370757861
"2014-02-01",54.25,52.341939285711,0.034022335,0.0411573826441346
"2014-03-01",51.25,45.7478442038049,0.047108908,0.0424815986090916
"2014-04-01",44,42.7287466245509,0.085351136,0.0808717441519197
"2014-05-01",44.25,41.2514639196409,0.060385436,0.0646884875361602
"2014-06-01",41.25,43.5741756056095,0.064869944,0.0600556071248213
"2014-07-01",40.75,45.6777663412433,0.037867715,0.0466401148811051
"2014-08-01",33.5,42.3813491487895,0.036663565,0.0505626753886402
"2014-09-01",45,48.1700208419838,0.053523711,0.0507301332385253
"2014-10-01",44,41.0336931000506,0.109453043,0.0950593033791055
"2014-11-01",46,38.3708374309605,0.04889993,0.0466712488023797
"2014-12-01",40.75,44.1543356813956,0.035588896,0.0299981718232338
"2015-01-01",40.25,39.8178283620942,0.05709473,0.0619128810757861
"2015-02-01",43.5,41.591939285711,0.065293933,0.0724289806441346
"2015-03-01",44.5,38.9978442038049,0.049359203,0.0447318936090916
"2015-04-01",42.5,41.2287466245509,0.044306913,0.0398275211519197
"2015-05-01",52.5,49.5014639196409,0.061335515,0.0656385665361602
"2015-06-01",43.5,45.8241756056095,0.069725264,0.0649109271248213
"2015-07-01",36.75,41.6777663412433,0.059428413,0.0682008128811051
"2015-08-01",34.5,43.3813491487895,0.058465795,0.0723649053886402
"2015-09-01",44.25,47.4200208419838,0.035517091,0.0327235132385253
"2015-10-01",46.75,43.7836931000506,0.062245323,0.0478515833791054
"2015-11-01",46.5,38.8708374309605,0.051058959,0.0488302778023797
"2015-12-01",43.25,46.6543356813956,0.047917568,0.0423268438232338
"2016-01-01",50.25,49.8178283620942,0.040688236,0.0455063870757861
"2016-02-01",49.5,47.591939285711,0.060004636,0.0671396836441346
"2016-03-01",56.25,50.7478442038049,0.098338103,0.0937107936090916
"2016-04-01",51.75,50.4787466245509,0.082176703,0.0776973111519197
"2016-05-01",58.75,55.7514639196409,0.088575636,0.0928786875361602
"2016-06-01",48.5,50.8241756056095,0.087854067,0.0830397301248213
"2016-07-01",57.25,62.1777663412433,0.058796086,0.0675684858811051
"2016-08-01",41,49.8813491487895,0.058796086,0.0726951963886402
"2016-09-01",43.25,46.4200208419838,0.120248506,0.117454928238525
"2016-10-01",55,52.0336931000506,0.137923603,0.123529863379105
