,uncertainty_index,risk_index,France_index,Germany_index,Italy_index,UK_index,epu_global,vix
2007-02-01,0.01395516,0.024429814,0.030601441,0.024810523,0.037505474,0.021064474,53.08435224,15.42
2007-03-01,0.01494018,0.026083927,0.020978499,0.021548699,0.028970039,0.01638643,62.10465055,14.64
2007-04-01,0.016579436,0.021645716,0.029954591,0.018532317,0.026233936,0.02478811,59.12492849,14.22
2007-05-01,0.015199677,0.025822715,0.022604228,0.034964433,0.025651207,0.028316396,55.0572906,13.05
2007-06-01,0.013027023,0.021482913,0.018617492,0.025344857,0.020435631,0.020496237,56.03668685,16.23
2007-07-01,0.010949766,0.021281789,0.016524053,0.015760729,0.019328869,0.018687767,50.25710215,23.52
2007-08-01,0.012667524,0.021243276,0.011572732,0.010133189,0.007020747,0.028927598,76.00389253,23.379999
2007-09-01,0.023129923,0.025239253,0.035099209,0.041248512,0.014893391,0.047207201,100.7967128,18
2007-10-01,0.026103162,0.027203404,0.033705569,0.037357076,0.017129676,0.054227148,78.59194403,18.530001
2007-11-01,0.023534764,0.026671068,0.036741834,0.040335457,0.030974572,0.044695049,84.05948748,22.870001
2007-12-01,0.029384755,0.029123118,0.034890278,0.038836997,0.028387847,0.058431484,92.77621697,22.5
2008-01-01,0.026205475,0.026993395,0.05759776,0.035058074,0.040737422,0.034468886,136.2039587,26.200001
2008-02-01,0.03383422,0.031080088,0.046397769,0.060159762,0.070209108,0.056836279,105.462521,26.540001
2008-03-01,0.026651869,0.033014048,0.047420635,0.050102281,0.049872281,0.051950535,115.8314552,25.610001
2008-04-01,0.03273205,0.027059204,0.039769318,0.045734393,0.039525554,0.056964742,92.15424075,20.790001
2008-05-01,0.024485119,0.032215395,0.039201241,0.039065088,0.047809896,0.035921273,76.51513218,17.83
2008-06-01,0.02662752,0.024573916,0.036577491,0.038380052,0.028851565,0.049740568,90.48512889,23.950001
2008-07-01,0.027488437,0.031348467,0.033805746,0.034666584,0.030143621,0.041231786,91.61440216,22.940001
2008-08-01,0.03554402,0.029976768,0.04175483,0.052275868,0.024288238,0.04121425,90.62961404,20.65
2008-09-01,0.025987688,0.02172925,0.021882916,0.028884951,0.014715782,0.041459873,174.461011,39.389999
2008-10-01,0.053170459,0.03321278,0.068953599,0.06605573,0.034765502,0.084142008,202.3630229,59.889999
2008-11-01,0.048594558,0.03821639,0.069572481,0.062193312,0.04474271,0.08196186,143.6697628,55.279999
2008-12-01,0.03653669,0.026229484,0.054263922,0.056616312,0.033298182,0.06955659,147.1149743,40
2009-01-01,0.038671069,0.026305904,0.050581552,0.050419531,0.097044249,0.050540103,147.7181234,44.84
2009-02-01,0.033251177,0.025364755,0.042455721,0.033908579,0.034933048,0.045455114,149.8440792,46.349998
2009-03-01,0.0452349,0.029011707,0.058266082,0.074812306,0.044892287,0.070393729,132.3339153,44.139999
2009-04-01,0.034425564,0.037396633,0.040449364,0.066618573,0.023736511,0.055204338,104.2749429,36.5
2009-05-01,0.030989247,0.025126136,0.028927899,0.04579706,0.042976769,0.046071242,102.0110694,28.92
2009-06-01,0.029152634,0.024728374,0.040666995,0.050176162,0.035119896,0.05906775,100.9086996,26.35
2009-07-01,0.034821013,0.030718105,0.053254791,0.048447325,0.067825523,0.058796086,95.3252554,25.92
2009-08-01,0.028334717,0.025059789,0.037042792,0.050574956,0.038988206,0.033438109,93.23491847,26.01
2009-09-01,0.030470635,0.022103449,0.035988896,0.051671926,0.036442615,0.041500342,93.59493555,25.610001
2009-10-01,0.035876283,0.034869849,0.027025009,0.035546767,0.033083599,0.073682702,79.88146328,30.690001
2009-11-01,0.025611848,0.028259474,0.022865729,0.042882031,0.024247366,0.028611808,93.14005562,24.51
2009-12-01,0.030775532,0.025924689,0.063199191,0.047475973,0.058824673,0.055102941,93.61783652,21.68
2010-01-01,0.025441785,0.027951968,0.036909282,0.0235139,0.035493865,0.046228951,108.7188502,24.620001
2010-02-01,0.034110899,0.034737563,0.035545906,0.038980483,0.029606264,0.061155558,107.0791856,19.5
2010-03-01,0.040556992,0.033520595,0.049977712,0.046461461,0.048502683,0.067393127,99.83913523,17.59
2010-04-01,0.039644342,0.027694527,0.059475016,0.09349643,0.094467416,0.071845252,98.10439356,22.049999
2010-05-01,0.036406439,0.03383479,0.065117802,0.109875185,0.057662056,0.070199957,147.1274573,32.07
2010-06-01,0.039594096,0.032016222,0.076475759,0.108164159,0.108941375,0.116397097,128.615954,34.540001
2010-07-01,0.039983449,0.044224177,0.057299143,0.065165446,0.046748726,0.081288015,135.6447243,23.5
2010-08-01,0.04045853,0.031223672,0.052734569,0.078541836,0.083497269,0.069117143,120.5088571,26.049999
2010-09-01,0.03813049,0.031170385,0.063903882,0.08348626,0.046741136,0.073969914,132.6797855,23.700001
2010-10-01,0.043186695,0.03949656,0.063182968,0.076426548,0.067694611,0.063654127,116.8756673,21.200001
2010-11-01,0.036235874,0.03658047,0.039979104,0.070080808,0.050263818,0.060494697,123.9277445,23.540001
2010-12-01,0.041108585,0.037450942,0.06932646,0.11079883,0.092082023,0.077243291,124.1001838,17.75
2011-01-01,0.037011822,0.037273359,0.056037812,0.060975822,0.098168274,0.044677792,106.4156716,19.530001
2011-02-01,0.027489977,0.035962529,0.04993776,0.044567819,0.0491111,0.041686656,89.11248772,18.35
2011-03-01,0.033726811,0.033957044,0.061384367,0.056380449,0.068342078,0.067834675,123.3023729,17.74
2011-04-01,0.050738779,0.049458732,0.086602029,0.11210673,0.065919786,0.082092519,112.9421744,14.75
2011-05-01,0.037267778,0.039875046,0.043081566,0.08712231,0.050942957,0.060781896,82.84149069,15.45
2011-06-01,0.032485776,0.035766237,0.051665691,0.096754841,0.082683872,0.0657253,110.3653539,16.52
2011-07-01,0.046472865,0.046671032,0.074509472,0.106018796,0.094153532,0.05358418,159.8435941,25.25
2011-08-01,0.048018504,0.036689637,0.079380472,0.111145479,0.159689405,0.055350179,213.8392094,31.620001
2011-09-01,0.050732779,0.035890756,0.122353477,0.142627661,0.15185026,0.09827251,189.4014988,42.959999
2011-10-01,0.056154713,0.047564264,0.089662884,0.133873902,0.150752419,0.070223518,164.7154202,29.959999
2011-11-01,0.05079386,0.040229213,0.118026832,0.134942319,0.175437298,0.083918253,204.8416023,27.799999
2011-12-01,0.056265621,0.040842224,0.163692722,0.149859387,0.207269102,0.125278884,186.0950853,23.4
2012-01-01,0.05746567,0.048521598,0.106179909,0.150152304,0.244913335,0.100824295,169.1328781,19.440001
2012-02-01,0.044442669,0.042741269,0.081587162,0.082846441,0.10776795,0.074963025,143.8376451,18.43
2012-03-01,0.048265019,0.049875146,0.092674071,0.098635019,0.107100109,0.082570684,137.516387,15.5
2012-04-01,0.041572268,0.060343712,0.072913019,0.077016021,0.079069766,0.057736373,124.2028791,17.15
2012-05-01,0.037432644,0.046933221,0.079471239,0.074579845,0.09277079,0.053306867,159.4784748,24.059999
2012-06-01,0.064889914,0.052048521,0.184280268,0.174616904,0.143371234,0.088383667,193.8049857,17.08
2012-07-01,0.057258113,0.054395964,0.068947954,0.130107762,0.158359128,0.078386196,164.6252343,18.93
2012-08-01,0.045287436,0.044866879,0.061339731,0.090343239,0.097668695,0.053035589,127.973135,17.469999
2012-09-01,0.045088395,0.044204219,0.079184401,0.11368249,0.13162613,0.050263917,150.8295356,15.73
2012-10-01,0.047814982,0.050251902,0.052394783,0.110485874,0.135953811,0.067934399,166.8394819,18.6
2012-11-01,0.063468611,0.05270823,0.109809575,0.176089861,0.151619397,0.097573187,181.2665214,15.87
2012-12-01,0.070470299,0.056627196,0.152319291,0.194073494,0.151270061,0.08407901,166.6791775,18.02
2013-01-01,0.067820604,0.055462183,0.059438443,0.188472889,0.237893772,0.089550961,168.8013011,14.38
2013-02-01,0.041508718,0.047311203,0.057690493,0.079839825,0.056706914,0.051947073,127.8251559,15.51
2013-03-01,0.050636602,0.053814819,0.102409292,0.128332746,0.307274843,0.086817607,139.5308705,12.7
2013-04-01,0.053760325,0.045712119,0.06958827,0.124509851,0.254296607,0.084308128,132.3135108,13.52
2013-05-01,0.039930533,0.045749483,0.032771893,0.094380262,0.205002066,0.058918774,103.9872443,16.299999
2013-06-01,0.034004574,0.046942696,0.042393484,0.058564814,0.055720457,0.039589982,111.7377365,16.860001
2013-07-01,0.038961437,0.040619944,0.035605794,0.059696406,0.051205208,0.045097256,107.6408738,13.45
2013-08-01,0.034534141,0.052245859,0.040736022,0.041540886,0.070814579,0.054069155,117.0320972,17.01
2013-09-01,0.052600769,0.040971159,0.083069225,0.131008982,0.070754269,0.103272361,126.9339591,16.6
2013-10-01,0.052308273,0.042726493,0.06186164,0.08477768,0.11028722,0.066982366,148.4331706,13.75
2013-11-01,0.0477058,0.040162278,0.050865422,0.077127854,0.075292309,0.069852331,87.46164919,13.7
2013-12-01,0.030705483,0.034772647,0.032635667,0.052017698,0.051630059,0.049838307,114.5961748,13.72
2014-01-01,0.034983002,0.038833771,0.079824989,0.097702042,0.089703548,0.051223386,107.042804,18.41
2014-02-01,0.025726994,0.031599554,0.054205089,0.04395359,0.060878859,0.034022335,95.45959094,14
2014-03-01,0.02920125,0.035181464,0.038144071,0.048776687,0.045143557,0.047108908,111.1858395,13.88
2014-04-01,0.03572604,0.043503962,0.042330137,0.048349581,0.06452259,0.085351136,91.53320027,13.41
2014-05-01,0.02462195,0.040020812,0.026249018,0.029911011,0.028791247,0.060385436,100.7751179,11.4
2014-06-01,0.027143404,0.034808967,0.054367981,0.061334664,0.043600098,0.064869944,81.68522508,11.57
2014-07-01,0.019727671,0.037638453,0.025373459,0.020284761,0.0136595,0.037867715,90.53800188,16.950001
2014-08-01,0.022614711,0.038767296,0.039124257,0.046590723,0.066579076,0.036663565,101.801417,12.09
2014-09-01,0.023476318,0.034752295,0.044255532,0.049043226,0.074181655,0.053523711,125.2135418,16.309999
2014-10-01,0.034631177,0.039970394,0.055685342,0.081935547,0.064409272,0.109453043,125.2903455,14.03
2014-11-01,0.02825503,0.043251952,0.077386733,0.084904468,0.067283775,0.04889993,107.6392901,13.33
2014-12-01,0.023300366,0.034868642,0.04684534,0.037758663,0.029215802,0.035588896,110.9278729,19.200001
2015-01-01,0.026044765,0.033420653,0.057910151,0.066340485,0.054176261,0.05709473,143.555757,20.969999
2015-02-01,0.029574806,0.031306756,0.057904027,0.073371259,0.105266062,0.065293933,110.1040731,13.34
2015-03-01,0.027079184,0.025072827,0.055963226,0.090137229,0.058415624,0.049359203,94.62456033,15.29
2015-04-01,0.02256423,0.034486585,0.019779572,0.052476741,0.043876513,0.044306913,102.5033191,14.55
2015-05-01,0.031633948,0.031526813,0.041410608,0.05659236,0.036704042,0.061335515,107.1016883,13.84
2015-06-01,0.037641919,0.02929539,0.046748376,0.05571604,0.04585391,0.069725264,116.1838459,18.23
2015-07-01,0.037438091,0.030888097,0.05844671,0.076378204,0.053644832,0.059428413,134.7984987,12.12
2015-08-01,0.035132217,0.027035844,0.059558793,0.075339132,0.084575245,0.058465795,142.2058115,28.43
2015-09-01,0.029088457,0.023085229,0.072719788,0.069077768,0.054707561,0.035517091,194.7921357,24.5
2015-10-01,0.039373312,0.032633579,0.043936643,0.062075843,0.047210196,0.062245323,134.7813905,15.07
2015-11-01,0.031613865,0.031690495,0.051095249,0.061697901,0.036183881,0.051058959,97.655483,16.129999
2015-12-01,0.024309882,0.028885062,0.042879716,0.049639634,0.04480293,0.047917568,113.9416896,18.209999
2016-01-01,0.02739012,0.032953505,0.04767229,0.050941846,0.098144295,0.040688236,159.5182019,20.200001
2016-02-01,0.030996176,0.03473896,0.056291325,0.061682222,0.092616583,0.060004636,167.0829296,20.549999
2016-03-01,0.033924499,0.036399762,0.092847505,0.085672007,0.063362593,0.098338103,173.9844368,13.95
2016-04-01,0.029183355,0.037819251,0.046114989,0.052211122,0.041449341,0.082176703,148.6508032,15.7
2016-05-01,0.024542692,0.028283517,0.039248387,0.052938514,0.047573401,0.088575636,141.5954153,14.19
2016-06-01,0.019907277,0.028088371,0.034208358,0.05602167,0.051064432,0.087854067,261.2212389,15.63
2016-07-01,0.044535043,0.03386239,0.103586767,0.138271061,0.117650511,0.201687143,272.5313176,11.87
2016-08-01,0.04845568,0.02896615,0.121685446,0.139031871,0.263422509,0.2799572,153.031368,13.42
2016-09-01,0.023625094,0.0209574,0.045338304,0.052548105,0.068373388,0.120248506,164.3952084,13.29
2016-10-01,0.031512999,0.032007889,0.074614375,0.080441865,0.082472619,0.137923603,143.9242713,17.059999
